user_role,hour_of_day,day_of_week,geo_dist_km,device_posture,resource_type,req_velocity,session_dur_s,baseline_dev,label
operator,7,4,9.4,compliant,bulk_export,7.4,1366.3,0.73,1
operator,18,4,4.2,compliant,historian,1.54,331.8,0.04,0
auditor,7,1,37.5,compliant,config,4.45,232.8,0.67,1
auditor,14,3,0.3,compliant,historian,4.69,280.1,0.28,0
auditor,14,2,493.9,compliant,PLC,7.63,164.9,0.81,0
auditor,15,4,5.0,compliant,bulk_export,4.04,690.1,0.29,0
auditor,20,3,48.6,unknown,PLC,6.28,121.1,0.64,0
engineer,8,3,79.3,compliant,PLC,4.84,131.2,0.25,0
operator,16,3,35.4,compliant,config,5.97,143.1,0.44,0
auditor,15,2,24.9,compliant,PLC,2.02,107.7,0.05,0
auditor,11,3,28.8,compliant,bulk_export,4.82,245.6,0.37,0
engineer,11,1,146.0,compliant,historian,0.87,349.3,0.07,0
operator,4,3,21.9,unknown,PLC,3.53,102.4,0.45,0
auditor,16,0,21.6,compliant,bulk_export,4.21,304.1,0.24,0
auditor,12,6,22.2,compliant,historian,2.29,92.3,0.36,0
auditor,9,2,19.6,compliant,bulk_export,2.11,379.9,0.03,0
operator,2,4,5.6,unknown,config,2.7,291.2,0.19,0
auditor,16,1,13.4,compliant,historian,3.72,112.5,0.22,1
auditor,5,2,0.7,compliant,config,3.9,280.8,0.32,0
auditor,16,3,2.1,compliant,HMI,1.16,72.1,0.14,1
operator,9,2,12.1,compliant,historian,5.64,392.6,0.02,0
engineer,8,1,112.1,unknown,PLC,5.45,39.7,0.28,0
auditor,4,0,41.0,unknown,config,4.39,185.3,0.2,0
operator,18,3,23.3,compliant,historian,4.76,159.0,0.1,0
auditor,17,5,22.2,compliant,HMI,5.1,118.0,0.17,1
engineer,10,2,50.8,unknown,historian,4.18,428.5,0.39,0
auditor,16,3,25.0,compliant,config,5.16,155.0,0.01,0
engineer,20,3,136.6,compliant,historian,1.8,125.3,0.15,0
auditor,14,0,18.9,unknown,config,0.92,243.7,0.02,0
engineer,9,3,78.9,compliant,HMI,0.88,31.0,0.38,0
engineer,16,1,4.1,compliant,HMI,2.15,82.4,0.35,0
operator,18,3,11.2,compliant,config,2.52,117.0,0.39,1
auditor,15,3,36.5,compliant,config,1.95,179.6,0.11,0
auditor,15,0,35.2,compliant,bulk_export,5.0,474.2,0.04,0
auditor,10,0,49.3,compliant,PLC,1.3,176.1,0.09,0
auditor,13,4,2.2,compliant,PLC,4.66,92.1,0.42,0
operator,12,6,1.5,compliant,config,1.52,294.6,0.13,0
engineer,16,4,76.7,compliant,historian,4.73,188.2,0.45,0
auditor,13,3,0.4,compliant,config,2.45,268.6,0.26,0
operator,9,1,106.0,unknown,bulk_export,15.06,1519.2,0.67,1
auditor,11,6,12.7,compliant,config,4.2,118.5,0.1,0
engineer,16,1,53.1,compliant,config,3.83,94.1,0.17,0
operator,19,4,0.6,compliant,bulk_export,7.03,662.9,0.7,1
auditor,10,1,22.3,compliant,bulk_export,2.47,700.4,0.31,0
auditor,11,3,48.3,unknown,config,5.03,175.3,0.4,0
operator,18,3,17.6,compliant,config,1.71,86.7,0.09,0
engineer,0,0,79.1,compliant,config,1.18,282.8,0.18,0
operator,11,1,22.6,compliant,historian,2.52,136.4,0.2,0
operator,8,1,1.3,compliant,PLC,1.43,161.9,0.05,0
auditor,23,0,0.7,compliant,historian,0.98,262.9,0.39,1
auditor,12,4,478.5,compliant,historian,5.07,86.4,0.89,1
auditor,11,1,30.6,compliant,historian,2.31,222.2,0.23,0
auditor,17,3,47.0,unknown,historian,1.04,188.6,0.06,0
auditor,13,3,59.1,compliant,bulk_export,5.72,430.5,0.01,0
auditor,19,3,41.7,compliant,PLC,7.76,43.8,0.67,1
operator,15,0,6.3,compliant,HMI,1.43,85.2,0.35,0
auditor,17,4,502.5,compliant,config,1.11,272.4,0.4,1
engineer,14,1,51.7,compliant,PLC,2.14,172.5,0.04,0
auditor,13,3,22.8,unknown,bulk_export,2.46,615.5,0.09,0
engineer,8,2,63.8,compliant,PLC,4.85,183.1,0.16,0
operator,18,0,12.6,compliant,PLC,4.65,76.4,0.42,0
auditor,17,2,61.6,compliant,bulk_export,4.13,476.6,0.29,0
operator,8,3,37.6,compliant,historian,4.23,282.0,0.08,0
auditor,15,2,37.3,compliant,historian,5.2,284.3,0.16,0
operator,7,4,28.3,compliant,historian,5.36,113.8,0.2,0
auditor,15,3,2.0,compliant,PLC,5.15,62.4,0.43,0
engineer,10,0,29.2,compliant,config,2.85,251.2,0.22,0
auditor,16,0,4.4,compliant,HMI,3.73,99.7,0.17,0
operator,17,1,1.2,compliant,HMI,0.6,72.5,0.02,0
engineer,10,0,47.5,compliant,historian,4.02,193.6,0.15,0
operator,9,3,477.2,compliant,HMI,1.06,82.0,0.83,1
auditor,15,5,35.9,compliant,bulk_export,2.3,446.3,0.04,0
operator,9,0,38.5,compliant,historian,5.1,349.2,0.44,0
engineer,6,4,45.8,compliant,HMI,3.65,129.7,0.08,1
engineer,5,4,155.7,compliant,historian,3.39,314.9,0.42,0
engineer,8,1,143.7,compliant,HMI,0.88,43.2,0.37,0
auditor,10,2,43.4,compliant,bulk_export,1.45,665.7,0.01,0
engineer,17,2,158.0,compliant,config,3.36,78.4,0.28,0
operator,8,0,24.7,compliant,historian,1.64,381.2,0.18,0
operator,13,0,28.4,compliant,historian,3.79,349.4,0.23,0
auditor,15,1,46.3,compliant,bulk_export,1.72,507.1,0.1,0
auditor,13,1,47.6,compliant,bulk_export,3.91,506.6,0.01,0
auditor,16,2,6.3,compliant,bulk_export,2.83,488.4,0.12,0
auditor,14,3,9.5,compliant,config,4.07,74.2,0.4,1
auditor,10,3,36.5,compliant,HMI,4.25,27.5,0.04,0
operator,13,4,30.3,compliant,historian,5.05,141.6,0.18,0
auditor,13,0,19.7,compliant,HMI,2.8,84.8,0.23,0
engineer,10,4,33.8,compliant,PLC,4.57,158.8,0.27,0
auditor,12,4,54.3,compliant,bulk_export,1.38,430.7,0.19,0
engineer,16,4,10.5,compliant,HMI,3.45,41.6,0.09,0
auditor,10,0,35.7,compliant,bulk_export,4.07,311.9,0.13,0
auditor,15,3,63.9,unknown,bulk_export,2.3,416.4,0.45,0
auditor,10,3,55.5,compliant,HMI,3.07,18.9,0.22,0
auditor,10,0,9.5,compliant,bulk_export,4.66,616.1,0.42,0
auditor,17,3,4.7,compliant,bulk_export,1.87,556.0,0.08,0
engineer,14,0,79.8,compliant,HMI,1.22,98.1,0.14,0
operator,18,4,42.2,unknown,historian,4.87,331.6,0.34,0
operator,17,2,16.1,compliant,HMI,2.88,43.0,0.38,0
auditor,16,0,383.5,compliant,PLC,2.67,56.6,0.55,1
operator,7,1,15.6,compliant,bulk_export,1.06,585.9,0.22,0
operator,7,3,420.8,compliant,config,6.22,60.3,0.63,1
operator,13,0,36.0,unknown,historian,0.93,347.3,0.18,0
auditor,6,0,21.9,compliant,config,2.71,98.2,0.44,1
engineer,8,3,53.1,compliant,config,4.36,258.5,0.32,1
operator,8,3,30.9,compliant,PLC,6.03,194.7,0.01,0
operator,7,1,33.0,compliant,bulk_export,6.43,1088.6,0.94,1
engineer,8,3,27.1,compliant,historian,1.51,225.9,0.11,0
engineer,16,2,101.3,compliant,PLC,4.42,129.1,0.42,0
engineer,10,2,19.1,compliant,PLC,4.17,70.2,0.1,0
operator,13,4,36.5,compliant,config,4.74,126.0,0.05,0
engineer,12,1,5.3,compliant,HMI,4.96,70.9,0.43,1
engineer,15,0,32.1,compliant,historian,1.49,252.2,0.41,0
operator,12,4,29.4,compliant,PLC,3.09,81.9,0.33,0
engineer,8,4,60.6,compliant,HMI,3.79,92.4,0.12,0
auditor,7,4,20.6,compliant,HMI,10.36,104.0,0.84,1
operator,10,4,8.4,compliant,config,5.93,313.5,0.12,0
auditor,15,4,21.8,compliant,config,3.15,97.5,0.1,0
operator,18,1,416.1,compliant,HMI,1.62,53.2,0.42,1
auditor,14,0,61.5,unknown,config,1.77,96.2,0.31,0
auditor,7,4,13.4,compliant,bulk_export,6.82,499.4,0.62,1
auditor,14,5,21.7,compliant,historian,1.21,386.8,0.19,0
operator,14,4,37.0,unknown,PLC,0.99,45.3,0.43,0
operator,6,5,36.7,unknown,config,0.7,320.5,0.1,0
engineer,5,0,29.2,unknown,HMI,5.01,52.3,0.52,1
operator,8,3,6.3,compliant,historian,1.32,175.7,0.16,0
auditor,13,0,40.1,compliant,historian,1.97,128.2,0.4,0
engineer,15,3,11.1,compliant,historian,4.49,116.4,0.2,0
auditor,14,2,30.4,compliant,bulk_export,1.98,262.4,0.35,0
engineer,8,1,54.8,compliant,config,3.56,234.1,0.4,0
operator,11,1,40.0,compliant,historian,1.72,120.7,0.03,0
engineer,17,5,59.1,compliant,historian,5.61,282.7,0.33,0
engineer,16,6,60.3,compliant,historian,1.06,236.9,0.42,0
operator,17,2,33.0,compliant,HMI,5.56,58.4,0.43,1
engineer,11,1,74.2,compliant,HMI,4.96,53.7,0.28,0
operator,13,2,17.9,compliant,historian,5.61,162.1,0.15,0
engineer,20,3,45.0,compliant,historian,5.4,261.0,0.44,0
engineer,15,4,44.8,compliant,HMI,1.01,42.9,0.17,0
operator,10,4,13.9,compliant,HMI,3.69,85.2,0.21,0
operator,13,1,33.6,compliant,PLC,0.9,135.2,0.21,0
engineer,15,0,23.2,compliant,config,2.04,111.4,0.0,0
operator,3,3,10.0,compliant,PLC,6.95,173.8,0.8,1
engineer,12,2,60.6,compliant,bulk_export,13.74,434.6,0.87,1
operator,18,6,25.5,compliant,HMI,1.52,30.3,0.06,0
operator,10,4,38.9,unknown,historian,0.94,248.3,0.23,1
engineer,18,2,60.2,unknown,HMI,3.79,62.6,0.24,0
auditor,2,1,34.5,compliant,config,1.79,290.5,0.2,0
operator,8,2,38.3,compliant,historian,4.51,94.8,0.37,0
engineer,10,2,267.9,unknown,config,2.9,207.0,0.87,0
engineer,15,5,61.0,compliant,historian,1.51,182.1,0.25,0
operator,14,1,7.5,compliant,HMI,3.97,104.1,0.45,0
operator,19,0,20.0,unknown,bulk_export,5.11,475.5,0.48,1
operator,17,2,12.2,compliant,PLC,5.89,112.7,0.03,0
engineer,13,4,103.9,compliant,PLC,0.62,190.3,0.14,0
operator,10,3,12.6,compliant,HMI,3.48,44.3,0.34,0
engineer,8,1,13.9,compliant,bulk_export,10.13,816.5,0.58,1
engineer,9,3,42.5,compliant,PLC,1.89,105.4,0.3,0
engineer,20,2,61.8,compliant,PLC,6.53,106.1,0.82,1
engineer,11,2,28.0,compliant,bulk_export,13.26,1434.9,0.66,1
engineer,9,0,24.2,unknown,PLC,5.36,61.5,0.38,1
engineer,5,1,33.7,compliant,bulk_export,7.85,694.3,0.49,1
auditor,12,3,594.1,compliant,historian,5.78,285.6,0.49,1
auditor,5,1,34.1,unknown,historian,2.27,95.8,0.02,0
operator,12,3,41.9,unknown,historian,2.27,141.3,0.18,0
engineer,8,3,151.7,compliant,config,2.03,125.3,0.01,0
operator,21,3,38.5,compliant,bulk_export,8.09,456.8,0.83,1
auditor,9,0,20.8,compliant,bulk_export,8.12,463.6,0.84,1
engineer,9,1,77.4,unknown,HMI,2.71,104.3,0.35,0
operator,11,2,31.6,compliant,PLC,3.2,121.0,0.25,0
engineer,9,3,40.9,compliant,HMI,3.93,51.5,0.44,0
operator,16,3,1.4,unknown,PLC,3.93,57.7,0.42,0
engineer,23,1,23.3,compliant,historian,1.37,322.1,0.41,0
auditor,10,0,36.6,compliant,bulk_export,0.59,631.5,0.09,0
operator,12,4,32.8,compliant,HMI,5.3,111.0,0.2,0
auditor,11,1,9.1,unknown,config,4.21,170.8,0.22,0
operator,15,4,83.2,compliant,bulk_export,7.85,1355.3,0.98,1
operator,17,2,91.7,unknown,bulk_export,14.82,691.9,0.68,1
operator,16,2,27.9,unknown,HMI,0.57,66.2,0.42,0
operator,7,2,14.9,compliant,bulk_export,16.86,508.6,0.95,1
engineer,11,1,17.9,compliant,HMI,2.83,67.8,0.3,0
operator,14,1,3.8,compliant,HMI,1.18,102.4,0.11,1
auditor,15,0,257.4,compliant,HMI,4.28,59.7,0.43,1
engineer,10,1,60.6,unknown,HMI,3.29,94.1,0.29,0
engineer,20,2,14.8,compliant,PLC,3.71,65.4,0.33,0
auditor,6,5,17.9,compliant,bulk_export,1.82,190.8,0.69,1
engineer,12,0,111.6,compliant,config,1.96,219.9,0.24,0
auditor,15,0,62.5,compliant,HMI,0.61,27.7,0.19,0
auditor,17,3,51.4,compliant,PLC,4.55,114.8,0.26,0
auditor,11,1,67.0,compliant,bulk_export,2.01,374.2,0.39,0
auditor,11,2,19.3,compliant,HMI,5.78,21.3,0.33,0
auditor,11,4,18.0,compliant,config,3.61,120.2,0.26,0
engineer,19,5,6.4,compliant,config,3.87,285.7,0.79,1
engineer,11,2,52.5,unknown,HMI,1.86,28.7,0.24,0
engineer,14,2,142.5,unknown,historian,4.13,121.0,0.35,0
engineer,15,4,106.0,compliant,HMI,0.93,35.0,0.27,0
engineer,11,3,108.4,compliant,bulk_export,4.43,486.5,0.2,0
engineer,9,2,68.6,compliant,HMI,3.43,28.5,0.44,0
operator,13,4,14.9,unknown,bulk_export,8.71,1324.6,0.91,0
operator,10,5,12.5,compliant,HMI,1.87,30.6,0.01,0
engineer,7,3,5.0,compliant,HMI,1.83,30.4,0.58,1
auditor,18,0,27.8,compliant,historian,5.0,170.7,0.69,1
operator,4,6,53.3,compliant,PLC,5.16,47.3,0.62,1
auditor,11,2,42.2,compliant,config,0.99,60.0,0.41,0
auditor,11,1,46.6,unknown,bulk_export,4.57,653.8,0.81,0
operator,10,2,31.4,compliant,HMI,3.63,67.6,0.23,0
engineer,14,1,51.7,compliant,HMI,0.91,27.1,0.16,0
operator,10,2,14.4,compliant,HMI,2.82,66.5,0.14,0
auditor,10,1,16.8,compliant,historian,3.15,171.4,0.23,0
auditor,12,4,545.0,compliant,historian,3.27,350.9,0.38,1
engineer,3,1,9.4,compliant,historian,2.81,434.4,0.22,0
auditor,18,3,31.4,compliant,PLC,7.86,70.6,0.61,1
operator,8,0,13.6,compliant,historian,1.74,207.8,0.45,0
operator,5,1,39.7,unknown,historian,6.44,290.6,0.41,0
operator,17,2,30.8,compliant,HMI,1.4,109.8,0.34,0
engineer,13,0,51.3,compliant,HMI,5.11,96.0,0.12,0
